# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Thu Apr  8 17:44:48 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: LSST ugrizY, March 2012 total filter throughputs (all ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: luminosity functions
# age     Z  magbinc 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
1e+10 0.00049 -2.225  3.85e-06        0 3.58e-08 4.13e-06 4.24e-06 4.19e-06 4.19e-06
1e+10 0.00049 -2.175  3.85e-06 1.79e-08 3.58e-08 3.97e-06 4.35e-06 4.03e-06 4.60e-06
1e+10 0.00049 -2.125  3.99e-06 1.79e-08 1.79e-08 4.04e-06 4.32e-06 4.51e-06 4.71e-06
1e+10 0.00049 -2.075  3.96e-06        0 3.58e-08 4.39e-06 4.23e-06 4.66e-06 5.21e-06
1e+10 0.00049 -2.025  4.12e-06 1.79e-08 3.58e-08 4.31e-06 4.32e-06 5.00e-06 5.21e-06
1e+10 0.00049 -1.975  4.35e-06 1.79e-08 1.79e-08 4.50e-06 4.62e-06 5.47e-06 5.63e-06
1e+10 0.00049 -1.925  4.19e-06        0 3.58e-08 4.59e-06 5.00e-06 5.54e-06 5.50e-06
1e+10 0.00049 -1.875  4.35e-06 1.79e-08 3.94e-07 4.68e-06 5.38e-06 5.56e-06 5.47e-06
1e+10 0.00049 -1.825  4.19e-06        0        0 4.68e-06 5.52e-06 5.72e-06 5.56e-06
1e+10 0.00049 -1.775  4.73e-06 1.79e-08 4.16e-06 4.64e-06 5.90e-06 5.59e-06 6.24e-06
1e+10 0.00049 -1.725  4.96e-06 1.79e-08 3.51e-06 4.55e-06 5.77e-06 6.02e-06 6.69e-06
1e+10 0.00049 -1.675  5.41e-06        0 4.15e-06 5.04e-06 5.95e-06 6.73e-06 6.69e-06
1e+10 0.00049 -1.625  5.57e-06 1.79e-08 4.08e-06 5.47e-06 5.90e-06 6.69e-06 6.92e-06
1e+10 0.00049 -1.575  5.65e-06 1.79e-08 4.40e-06 5.83e-06 6.47e-06 7.01e-06 7.36e-06
1e+10 0.00049 -1.525  5.61e-06        0 4.85e-06 6.02e-06 6.89e-06 7.23e-06 7.37e-06
1e+10 0.00049 -1.475  5.85e-06 1.79e-08 4.96e-06 6.17e-06 7.10e-06 7.73e-06 7.64e-06
1e+10 0.00049 -1.425  5.83e-06 1.79e-08 5.34e-06 6.31e-06 7.39e-06 7.64e-06 7.75e-06
1e+10 0.00049 -1.375  6.49e-06        0 5.35e-06 6.28e-06 7.73e-06 7.84e-06 8.15e-06
1e+10 0.00049 -1.325  7.23e-06 1.79e-08 5.41e-06 6.47e-06 7.82e-06 8.08e-06 8.27e-06
1e+10 0.00049 -1.275  7.03e-06        0 5.88e-06 7.14e-06 8.00e-06 8.45e-06 8.85e-06
1e+10 0.00049 -1.225  7.45e-06 1.79e-08 5.64e-06 7.37e-06 8.24e-06 8.76e-06 8.82e-06
1e+10 0.00049 -1.175  7.91e-06 1.79e-08 6.04e-06 7.66e-06 8.61e-06 8.81e-06 9.30e-06
1e+10 0.00049 -1.125  7.82e-06        0 6.08e-06 8.36e-06 8.90e-06 9.64e-06 1.04e-05
1e+10 0.00049 -1.075  8.27e-06 1.79e-08 6.26e-06 8.09e-06 9.16e-06 1.05e-05 1.11e-05
1e+10 0.00049 -1.025  8.40e-06 1.79e-08 6.58e-06 8.45e-06 9.46e-06 1.13e-05 1.62e-05
1e+10 0.00049 -0.975  8.61e-06        0 6.62e-06 8.74e-06 1.09e-05 1.68e-05 9.24e-06
1e+10 0.00049 -0.925  9.32e-06 1.79e-08 6.85e-06 8.76e-06 1.22e-05 9.09e-06 7.57e-06
1e+10 0.00049 -0.875  9.16e-06 1.79e-08 7.53e-06 9.35e-06 1.73e-05 7.57e-06 7.70e-06
1e+10 0.00049 -0.825  9.72e-06        0 7.50e-06 9.28e-06 7.57e-06 7.81e-06 3.85e-05
1e+10 0.00049 -0.775  1.11e-05 1.79e-08 7.79e-06 1.05e-05 7.85e-06 3.29e-05 2.20e-05
1e+10 0.00049 -0.725  1.27e-05        0 7.46e-06 1.17e-05 7.92e-06 2.66e-05 1.11e-05
1e+10 0.00049 -0.675  1.65e-05 1.79e-08 8.13e-06 1.63e-05 2.80e-05 1.22e-05 1.13e-05
1e+10 0.00049 -0.625  7.59e-06 1.79e-08 8.25e-06 1.13e-05 3.04e-05 1.14e-05 1.11e-05
1e+10 0.00049 -0.575  7.85e-06        0 8.63e-06 7.84e-06 1.34e-05 1.11e-05 1.11e-05
1e+10 0.00049 -0.525  8.06e-06 1.79e-08 9.73e-06 8.12e-06 1.15e-05 1.15e-05 1.16e-05
1e+10 0.00049 -0.475  3.06e-05 1.79e-08 9.98e-06 8.62e-06 1.19e-05 1.16e-05 1.26e-05
1e+10 0.00049 -0.425  2.89e-05        0 9.89e-06 3.45e-05 1.15e-05 1.33e-05 1.32e-05
1e+10 0.00049 -0.375  1.27e-05 1.79e-08 1.03e-05 2.57e-05 1.24e-05 1.28e-05 1.40e-05
