#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.66000        19.28425        19.37158        19.24896        19.13881        19.56877        18.08212       -22.28397       -23.40786
        0.67000        19.27954        19.36672        19.24147        19.13260        19.56265        18.07604       -22.32338       -23.44727
        0.68000        19.27471        19.36188        19.23392        19.12631        19.55647        18.06988       -22.36232       -23.48621
        0.69000        19.26978        19.35707        19.22635        19.11994        19.55024        18.06365       -22.40080       -23.52469
        0.70000        19.26476        19.35227        19.21877        19.11348        19.54397        18.05737       -22.43883       -23.56272
        0.71000        19.25968        19.34749        19.21119        19.10693        19.53768        18.05103       -22.47641       -23.60030
        0.72000        19.25454        19.34274        19.20364        19.10031        19.53136        18.04466       -22.51354       -23.63743
        0.73000        19.24936        19.33800        19.19611        19.09362        19.52503        18.03826       -22.55024       -23.67413
        0.74000        19.24414        19.33330        19.18861        19.08689        19.51869        18.03184       -22.58651       -23.71040
        0.75000        19.23888        19.32862        19.18113        19.08013        19.51234        18.02542       -22.62235       -23.74624
        0.76000        19.23358        19.32397        19.17368        19.07335        19.50600        18.01899       -22.65777       -23.78165
        0.77000        19.22825        19.31936        19.16625        19.06657        19.49966        18.01257       -22.69277       -23.81665
        0.78000        19.22289        19.31479        19.15885        19.05980        19.49333        18.00616       -22.72736       -23.85124
        0.79000        19.21751        19.31027        19.15147        19.05305        19.48702        17.99977       -22.76154       -23.88542
        0.80000        19.21211        19.30581        19.14411        19.04633        19.48075        17.99340       -22.79532       -23.91920
        0.81000        19.20670        19.30140        19.13679        19.03962        19.47450        17.98705       -22.82870       -23.95259
        0.82000        19.20127        19.29704        19.12951        19.03295        19.46829        17.98074       -22.86169       -23.98558
        0.83000        19.19585        19.29276        19.12229        19.02630        19.46211        17.97447       -22.89429       -24.01818
        0.84000        19.19042        19.28853        19.11514        19.01967        19.45597        17.96824       -22.92651       -24.05039
        0.85000        19.18501        19.28438        19.10806        19.01307        19.44986        17.96206       -22.95834       -24.08223
        0.86000        19.17962        19.28030        19.10106        19.00650        19.44381        17.95592       -22.98981       -24.11369
        0.87000        19.17426        19.27629        19.09415        18.99994        19.43781        17.94983       -23.02090       -24.14479
        0.88000        19.16893        19.27236        19.08733        18.99338        19.43186        17.94380       -23.05162       -24.17551
        0.89000        19.16365        19.26850        19.08062        18.98684        19.42597        17.93782       -23.08199       -24.20588
        0.90000        19.15843        19.26473        19.07400        18.98032        19.42015        17.93190       -23.11199       -24.23588
        0.91000        19.15326        19.26102        19.06749        18.97382        19.41438        17.92604       -23.14164       -24.26553
        0.92000        19.14816        19.25739        19.06109        18.96735        19.40868        17.92025       -23.17095       -24.29483
        0.93000        19.14313        19.25383        19.05481        18.96091        19.40304        17.91452       -23.19990       -24.32379
        0.94000        19.13817        19.25032        19.04866        18.95448        19.39746        17.90887       -23.22852       -24.35240
        0.95000        19.13329        19.24688        19.04264        18.94808        19.39195        17.90328       -23.25679       -24.38068
        0.96000        19.12848        19.24350        19.03675        18.94172        19.38651        17.89777       -23.28473       -24.40862
        0.97000        19.12376        19.24016        19.03100        18.93540        19.38112        17.89233       -23.31234       -24.43623
        0.98000        19.11911        19.23688        19.02540        18.92913        19.37579        17.88696       -23.33962       -24.46351
        0.99000        19.11453        19.23365        19.01993        18.92293        19.37048        17.88167       -23.36658       -24.49047
        1.00000        19.11003        19.23047        19.01462        18.91681        19.36519        17.87646       -23.39322       -24.51711
        1.01000        19.10560        19.22733        19.00946        18.91076        19.35991        17.87133       -23.41954       -24.54343
        1.02000        19.10124        19.22423        19.00446        18.90481        19.35462        17.86628       -23.44555       -24.56944
        1.03000        19.09694        19.22118        18.99962        18.89896        19.34934        17.86131       -23.47125       -24.59514
        1.04000        19.09272        19.21817        18.99495        18.89319        19.34406        17.85643       -23.49665       -24.62053
        1.05000        19.08857        19.21521        18.99044        18.88751        19.33880        17.85163       -23.52174       -24.64563
        1.06000        19.08450        19.21228        18.98610        18.88191        19.33357        17.84691       -23.54653       -24.67042
        1.07000        19.08050        19.20941        18.98193        18.87638        19.32837        17.84228       -23.57102       -24.69491
        1.08000        19.07659        19.20657        18.97793        18.87092        19.32324        17.83773       -23.59522       -24.71911
        1.09000        19.07277        19.20379        18.97409        18.86553        19.31816        17.83328       -23.61914       -24.74302
        1.10000        19.06904        19.20105        18.97040        18.86022        19.31316        17.82891       -23.64276       -24.76665
        1.11000        19.06542        19.19838        18.96685        18.85499        19.30824        17.82463       -23.66610       -24.78999
